row_id,timestamp,email_id,sender,category,urgency,action_taken,approver
dda8e143,2026-09-11T10:28:58.660028+00:00,em_001,priya.shah@northgate-retail.com,bug_report,high,escalated,
7bb3fa86,2026-09-11T10:28:58.681100+00:00,em_002,devops@lumen-analytics.io,other,high,escalated,
e9040181,2026-09-11T10:28:58.698793+00:00,em_003,ops@fernwood-clinic.com,other,high,escalated,
95509cab,2026-09-11T10:28:58.718655+00:00,em_004,m.oduya@brightpath-logistics.com,bug_report,high,escalated,
0c2a17a3,2026-09-11T10:28:58.736139+00:00,em_005,hello@tinyseed-bakery.com,bug_report,medium,escalated,
04c00777,2026-09-11T10:28:58.755226+00:00,em_006,accounts@harrow-consulting.com,billing,high,drafted,
d6a0ddcd,2026-09-11T10:28:58.773527+00:00,em_007,finance@westline-media.com,billing,high,drafted,
2bb16a7c,2026-09-11T10:28:58.789086+00:00,em_008,r.tan@pixelforge-studio.com,billing,high,drafted,
93577153,2026-09-11T10:28:58.822395+00:00,em_009,billing@saltmarsh-farms.com,billing,high,drafted,
884cf2b0,2026-09-11T10:28:58.842597+00:00,em_010,j.oyelaran@driftwood-legal.com,billing,high,drafted,
cd644a16,2026-09-11T10:28:58.860463+00:00,em_011,carla.jimenez88@gmail.com,billing,high,drafted,
0e342f83,2026-09-11T10:28:58.875848+00:00,em_012,d.hollis@northfield-realty.com,bug_report,medium,escalated,
78e848a3,2026-09-11T10:28:58.895462+00:00,em_013,s.okafor22@yahoo.com,billing,high,drafted,
42c4b324,2026-09-11T10:28:58.911103+00:00,em_014,t.batra@ridgeline-consulting.com,other,medium,escalated,
a442c7f0,2026-09-11T10:28:58.926470+00:00,em_015,l.marsh@ceramichouse.co,bug_report,medium,escalated,
2665c257,2026-09-11T10:28:58.944792+00:00,em_016,newuser2024@outlook.com,how_to,low,drafted,
edf70387,2026-09-11T10:28:58.959746+00:00,em_017,kevin.wu.design@gmail.com,how_to,low,drafted,
867defc5,2026-09-11T10:28:58.978427+00:00,em_018,amanda.f@brightleaf-yoga.com,how_to,low,drafted,
6a3664bb,2026-09-11T10:28:58.994650+00:00,em_019,info@ridgetop-outfitters.com,billing,medium,drafted,
1162a0a4,2026-09-11T10:28:59.009983+00:00,em_020,grace.oduya@hotmail.com,how_to,high,drafted,
c189b84d,2026-09-11T10:28:59.024810+00:00,em_021,office@millbrook-dental.com,billing,medium,drafted,
77bc9a70,2026-09-11T10:28:59.043028+00:00,em_022,t.reyes@sundowner-cafe.com,billing,medium,drafted,
fcf0a2ed,2026-09-11T10:28:59.059533+00:00,em_023,j.lindqvist@nordicwool.se,how_to,low,drafted,
915b92b1,2026-09-11T10:28:59.074984+00:00,em_024,hannah.p@fieldnote-studio.com,how_to,low,drafted,
2ba06a7e,2026-09-11T10:28:59.092990+00:00,em_025,d.okonkwo@bluecrest-realty.com,billing,medium,drafted,
2189e214,2026-09-11T10:28:59.109018+00:00,em_026,wei.chen.photog@gmail.com,how_to,low,drafted,
3a5ab08c,2026-09-11T10:28:59.124138+00:00,em_027,accounts@hearthstone-books.com,billing,medium,drafted,
c5fd2a2d,2026-09-11T10:28:59.141894+00:00,em_028,p.singh@lotusleaf-yoga.com,billing,high,drafted,
4cd2862a,2026-09-11T10:28:59.162742+00:00,em_029,m.dubois@atelierfleur.fr,other,medium,escalated,
e5465113,2026-09-11T10:28:59.179531+00:00,em_030,contact@brambleandco.com,billing,medium,drafted,
f74c43d0,2026-09-11T10:28:59.198405+00:00,em_031,c.mercer@fieldstone-group.com,sales,medium,drafted,
d27cceb7,2026-09-11T10:28:59.218834+00:00,em_032,info@harborlight-agency.com,sales,medium,drafted,
587f5ae4,2026-09-11T10:28:59.237935+00:00,em_033,purchasing@ironclad-manufacturing.com,sales,medium,drafted,
eb7d1197,2026-09-11T10:28:59.257221+00:00,em_034,founder@nestlingapp.com,sales,medium,drafted,
feaf39d6,2026-09-11T10:28:59.274830+00:00,em_035,ops.lead@verdant-supply.co,other,medium,escalated,
6c5f4a90,2026-09-11T10:28:59.294913+00:00,em_036,promo@dealsblastnow.biz,spam,low,drafted,
a1155e04,2026-09-11T10:28:59.314843+00:00,em_037,no-reply@newsletter-roundup.net,spam,low,drafted,
256f875a,2026-09-11T10:28:59.333060+00:00,em_038,billing-alert@secure-verify-now.info,spam,low,drafted,
3f393097,2026-09-11T10:28:59.352022+00:00,em_039,seo-services@rank1quick.com,spam,low,drafted,
aba849ca,2026-09-11T10:28:59.370687+00:00,em_040,updates@some-random-app.io,spam,low,drafted,
3881ce45,2026-09-11T10:28:59.388781+00:00,em_041,s.andersen@brightline-consulting.dk,billing,medium,drafted,
9e5c81a6,2026-09-11T10:28:59.406666+00:00,em_042,r.okonjo@palmstreet-media.com,how_to,low,drafted,
d58f45d4,2026-09-11T10:28:59.428070+00:00,em_043,m.laurent@atelier9.fr,billing,medium,drafted,
ebe63e4a,2026-09-11T10:28:59.445017+00:00,em_044,d.fontaine@westbridge-law.com,bug_report,high,escalated,
7e8a6541,2026-09-11T10:28:59.463139+00:00,em_045,user48291@protonmail.com,bug_report,medium,escalated,
f3ca8497,2026-09-11T10:28:59.483053+00:00,em_046,quiet.observer@gmail.com,other,medium,escalated,
a48e7e8d,2026-09-11T10:28:59.501176+00:00,em_047,b.marsh19@icloud.com,other,medium,escalated,
e784969e,2026-09-11T10:28:59.518839+00:00,em_048,m.tanaka@kaede-design.jp,how_to,low,drafted,
7373c025,2026-09-11T10:28:59.537534+00:00,em_049,carlos.reyes.mx@gmail.com,bug_report,high,escalated,
b049faa3,2026-09-11T10:28:59.554450+00:00,em_050,priya.shah@northgate-retail.com,other,high,escalated,
49b41c47,2026-09-11T11:36:58.384603+00:00,em_001,priya.shah@northgate-retail.com,bug_report,high,escalated,
e2616dfe,2026-09-11T11:36:58.421882+00:00,em_002,devops@lumen-analytics.io,other,high,escalated,
21012123,2026-09-11T11:36:58.439207+00:00,em_003,ops@fernwood-clinic.com,other,high,escalated,
c307562d,2026-09-11T11:36:58.454904+00:00,em_004,m.oduya@brightpath-logistics.com,bug_report,high,escalated,
d612a78a,2026-09-11T11:36:58.472782+00:00,em_005,hello@tinyseed-bakery.com,bug_report,medium,escalated,
33cdd0f6,2026-09-11T11:36:58.494496+00:00,em_006,accounts@harrow-consulting.com,billing,high,drafted,
64c753be,2026-09-11T11:36:58.514286+00:00,em_007,finance@westline-media.com,billing,high,drafted,
6b7f0dee,2026-09-11T11:36:58.532433+00:00,em_008,r.tan@pixelforge-studio.com,billing,high,drafted,
6e935812,2026-09-11T11:36:58.549632+00:00,em_009,billing@saltmarsh-farms.com,billing,high,drafted,
15283b45,2026-09-11T11:36:58.566256+00:00,em_010,j.oyelaran@driftwood-legal.com,billing,high,drafted,
f472fbd0,2026-09-11T11:36:58.583808+00:00,em_011,carla.jimenez88@gmail.com,billing,high,drafted,
97f5c9a6,2026-09-11T11:36:58.610282+00:00,em_012,d.hollis@northfield-realty.com,bug_report,medium,escalated,
31b27d89,2026-09-11T11:36:58.628289+00:00,em_013,s.okafor22@yahoo.com,billing,high,drafted,
534257af,2026-09-11T11:36:58.645771+00:00,em_014,t.batra@ridgeline-consulting.com,other,medium,escalated,
95943490,2026-09-11T11:36:58.664508+00:00,em_015,l.marsh@ceramichouse.co,bug_report,medium,escalated,
a2d094f4,2026-09-11T11:36:58.681674+00:00,em_016,newuser2024@outlook.com,how_to,low,drafted,
feeebf80,2026-09-11T11:36:58.699739+00:00,em_017,kevin.wu.design@gmail.com,how_to,low,drafted,
43184db7,2026-09-11T11:36:58.718125+00:00,em_018,amanda.f@brightleaf-yoga.com,how_to,low,drafted,
1fc05086,2026-09-11T11:36:58.737206+00:00,em_019,info@ridgetop-outfitters.com,billing,medium,drafted,
aa83b717,2026-09-11T11:36:58.754064+00:00,em_020,grace.oduya@hotmail.com,how_to,high,drafted,
963f5282,2026-09-11T11:36:58.775323+00:00,em_021,office@millbrook-dental.com,billing,medium,drafted,
3bd93bff,2026-09-11T11:36:58.795557+00:00,em_022,t.reyes@sundowner-cafe.com,billing,medium,drafted,
1ddd778e,2026-09-11T11:36:58.815675+00:00,em_023,j.lindqvist@nordicwool.se,how_to,low,drafted,
8fe1d224,2026-09-11T11:36:58.833055+00:00,em_024,hannah.p@fieldnote-studio.com,how_to,low,drafted,
a9954455,2026-09-11T11:36:58.852500+00:00,em_025,d.okonkwo@bluecrest-realty.com,billing,medium,drafted,
5d5f391d,2026-09-11T11:36:58.872080+00:00,em_026,wei.chen.photog@gmail.com,how_to,low,drafted,
8a2e9e88,2026-09-11T11:36:58.891866+00:00,em_027,accounts@hearthstone-books.com,billing,medium,drafted,
04503f6e,2026-09-11T11:36:58.910971+00:00,em_028,p.singh@lotusleaf-yoga.com,billing,high,drafted,
1a31d9d6,2026-09-11T11:36:58.930935+00:00,em_029,m.dubois@atelierfleur.fr,other,medium,escalated,
b79945af,2026-09-11T11:36:58.949306+00:00,em_030,contact@brambleandco.com,billing,medium,drafted,
a360b866,2026-09-11T11:36:58.968567+00:00,em_031,c.mercer@fieldstone-group.com,sales,medium,drafted,
b751f6d5,2026-09-11T11:36:58.986469+00:00,em_032,info@harborlight-agency.com,sales,medium,drafted,
e98a8e72,2026-09-11T11:36:59.003955+00:00,em_033,purchasing@ironclad-manufacturing.com,sales,medium,drafted,
f131b883,2026-09-11T11:36:59.024713+00:00,em_034,founder@nestlingapp.com,sales,medium,drafted,
7c597e94,2026-09-11T11:36:59.041567+00:00,em_035,ops.lead@verdant-supply.co,other,medium,escalated,
88449b5a,2026-09-11T11:36:59.059288+00:00,em_036,promo@dealsblastnow.biz,spam,low,drafted,
01388d1f,2026-09-11T11:36:59.077916+00:00,em_037,no-reply@newsletter-roundup.net,spam,low,drafted,
fcb88279,2026-09-11T11:36:59.095440+00:00,em_038,billing-alert@secure-verify-now.info,spam,low,drafted,
8632e3be,2026-09-11T11:36:59.114106+00:00,em_039,seo-services@rank1quick.com,spam,low,drafted,
38b79f6e,2026-09-11T11:36:59.130582+00:00,em_040,updates@some-random-app.io,spam,low,drafted,
99d867e4,2026-09-11T11:36:59.150353+00:00,em_041,s.andersen@brightline-consulting.dk,billing,medium,drafted,
1e573543,2026-09-11T11:36:59.167871+00:00,em_042,r.okonjo@palmstreet-media.com,how_to,low,drafted,
aaa7e4a5,2026-09-11T11:36:59.184595+00:00,em_043,m.laurent@atelier9.fr,billing,medium,drafted,
d7d4d828,2026-09-11T11:36:59.201750+00:00,em_044,d.fontaine@westbridge-law.com,bug_report,high,escalated,
9ce57c49,2026-09-11T11:36:59.217923+00:00,em_045,user48291@protonmail.com,bug_report,medium,escalated,
8985968d,2026-09-11T11:36:59.233595+00:00,em_046,quiet.observer@gmail.com,other,medium,escalated,
3cc7cfea,2026-09-11T11:36:59.251473+00:00,em_047,b.marsh19@icloud.com,other,medium,escalated,
2282521d,2026-09-11T11:36:59.268206+00:00,em_048,m.tanaka@kaede-design.jp,how_to,low,drafted,
c0bfe376,2026-09-11T11:36:59.286661+00:00,em_049,carlos.reyes.mx@gmail.com,bug_report,high,escalated,
